paper_dir,step1_label,final_label,final_dims,ocr_dims,task_dims,task_csv_dims,task_md_dims,dimension_source,confidence,ocr_evidence,task_evidence,notes
BIBLIOTHEQUE/03_COMP-REAS/Scaling LLM Test-Time Compute Optimally can be More Effective than Scaling Model Parameters,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/Searching Latent Program Spaces,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y)",
BIBLIOTHEQUE/03_COMP-REAS/Self-Consistency Improves Chain of Thought Reasoning in Language Models,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:4:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/Self-Improving Language Models for Evolutionary Program Synthesis- A Case Study on ARC-AGI (SOAR),transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred); 2D (x, y)",
BIBLIOTHEQUE/03_COMP-REAS/Self-Refine- Iterative Refinement with Self-Feedback,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) | TASK-DOMAINS.csv:2:out_dimension=1D (t) | TASK-DOMAINS.csv:3:in_dimension=1D (t),
BIBLIOTHEQUE/03_COMP-REAS/Solving olympiad geometry without human demonstrations (AlphaGeometry),transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=1D (t); 2D (x, y) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t); 2D (x, y) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t); 2D (x, y) (inferred)",
BIBLIOTHEQUE/03_COMP-REAS/STaR- Self-Taught Reasoner (Bootstrapping Reasoning With Reasoning),hybrid_transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/StoryMem- Multi-shot Long Video Storytelling with Memory,transformer_yes,multi-D,1D;2D;3D,,1D;2D;3D,1D;2D;3D,1D;2D;3D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=1D (t); 2D (x, y) (inferred) | TASK-DOMAINS.csv:2:out_dimension=3D (x, y, t) (inferred) | TASK-DOMAINS.md:7:| Multi-shot narrative video generation | Per-shot text descriptions; memory keyframes from previous shots; optional reference images | 1D (t); 2D (x, y) (inferred) | ...",
BIBLIOTHEQUE/03_COMP-REAS/Synthesizing Visual Concepts as Vision-Language Programs,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y) (inferred); 0D (inferred)",
BIBLIOTHEQUE/03_COMP-REAS/Test-Time Learning for Large Language Models (TLM - TTL),transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/Test-Time Training on Nearest Neighbors for Large Language Models,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) | TASK-DOMAINS.csv:2:out_dimension=1D (t) | TASK-DOMAINS.csv:3:in_dimension=1D (t),
BIBLIOTHEQUE/03_COMP-REAS/The Surprising Effectiveness of Test-Time Training for Few-Shot Learning,hybrid_transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) | TASK-DOMAINS.csv:3:in_dimension=1D (t)",
BIBLIOTHEQUE/03_COMP-REAS/Toolformer- Language Models Can Teach Themselves to Use Tools,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/Towards Efficient Neurally-Guided Program Induction for ARC-AGI,transformer_yes,2D_only,2D,,1D;2D,2D,1D;2D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=2D (x | TASK-DOMAINS.csv:3:in_dimension=2D (x | TASK-DOMAINS.csv:4:in_dimension=2D (x,
BIBLIOTHEQUE/03_COMP-REAS/Training Iterative Refinement Algorithms with Implicit Differentiation,hybrid_transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y) (inferred)",
BIBLIOTHEQUE/03_COMP-REAS/Transformer-XL- Attentive Language Models Beyond a Fixed-Length Context,hybrid_transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:out_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/Tree of Thoughts (ToT)- Deliberate Problem Solving with Large Language Models,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/TTCS- Test-Time Curriculum Synthesis for Self-Evolving,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/Universal Transformers (UT),hybrid_transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:4:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/03_COMP-REAS/Vector Symbolic Algebras for the Abstraction and Reasoning Corpus,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) | TASK-DOMAINS.csv:3:in_dimension=1D (t)",
BIBLIOTHEQUE/05_ML-FNDTNS/A General Language Assistant as a Laboratory for Alignment,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/A Generalist Agent (Gato),transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=1D (t) | TASK-DOMAINS.csv:2:out_dimension=1D (t) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y)",
BIBLIOTHEQUE/05_ML-FNDTNS/ALBEF- Align Before Fuse,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y); 1D (t) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y); 1D (t) | TASK-DOMAINS.csv:3:out_dimension=1D (t)",
BIBLIOTHEQUE/05_ML-FNDTNS/Attention Is All You Need,hybrid_transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Average-Hard Attention Transformers Are Threshold Circuits,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.md:7:| Language recognition | Symbol string (alphabet tokens) | 1D (t) (inferred) | Open (inferred) | Dynamic (inferred) | Constructed (inferred) | Accept/reject label (bin...,
BIBLIOTHEQUE/05_ML-FNDTNS/Behind RoPE- How Does Causal Mask Encode Positional Information-,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.md:7:| language modeling (inferred) | tokens (inferred) | 1D (t) (inferred) | Capped (inferred) | Static (inferred) | Direct (inferred) | tokens (inferred) | 1D (t) (inferr...,
BIBLIOTHEQUE/05_ML-FNDTNS/BEiT- BERT Pre-Training of Image Transformers,transformer_yes,2D_only,2D,,2D,2D,2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y)",
BIBLIOTHEQUE/05_ML-FNDTNS/BERT- Pre-training of Deep Bidirectional Transformers for Language Understanding,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Better & Faster Large Language Models via Multi-token Prediction,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:out_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Beyond Position- The Emergence of Wavelet-like Properties in Transformers,transformer_yes,1D_only,1D,1D,,,,ocr_fallback,low,"1D@420:Then, we have the scale non-invariance issue, where the periodic nature of RoPE's embeddings can lead to aliasing effects over longer sequences. RoPE's rotations are periodic by nature, in fact, they complete a full c...",,task_csv_present_but_no_dims_parsed;task_md_present_but_no_dims_parsed
BIBLIOTHEQUE/05_ML-FNDTNS/BLIP- Bootstrapping Language-Image Pre-training,transformer_yes,multi-D,1D;2D;3D,,1D;2D;3D,1D;2D;3D,1D;2D;3D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred); 1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred); 2D (x, y) (inferred) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/BLIP-2- Bootstrapping Language-Image Pre-training with Frozen Models,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred); 1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y) (inferred); 1D (t) (inferred) | TASK-DOMAINS.csv:4:in_dimension=2D (x, y) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/CamPoint- Boosting Point Cloud Segmentation with Virtual Camera,transformer_yes,3D_only,3D,,3D,3D,3D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=3D (x,y,z) | TASK-DOMAINS.csv:2:out_dimension=3D (x,y,z) | TASK-DOMAINS.csv:3:in_dimension=3D (x,y,z)",
BIBLIOTHEQUE/05_ML-FNDTNS/CausalEmbed- Auto-Regressive Multi-Vector Generation in Latent Space for Visual Document Embedding,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred); 1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y) (inferred); 1D (t) (inferred) | TASK-DOMAINS.csv:3:out_dimension=1D (t) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/CoAtNet- Marrying Convolution and Attention for All Data Sizes,transformer_yes,2D_only,2D,,2D,2D,2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) | TASK-DOMAINS.md:7:| image classification | images | 2D (x, y) | Fixed (inferred) | Static (inferred) | Direct (inferred) | class labels (inferred) | 0D (inferred) | Fixed (inferred) |",
BIBLIOTHEQUE/05_ML-FNDTNS/CoCa- Contrastive Captioners,transformer_yes,multi-D,1D;2D;3D,,1D;2D;3D,1D;2D;3D,1D;2D;3D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:3:in_dimension=3D (x, y, t) (inferred) | TASK-DOMAINS.csv:4:in_dimension=2D (x, y) (inferred); 1D (t) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/Constitutional AI- Harmlessness from AI Feedback,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Deep Double Descent- Where Bigger Models and More Data Hurt,hybrid_transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:out_dimension=1D (t) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/Denoising Diffusion Probabilistic Models,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/Dense Passage Retrieval for Open-Domain Question Answering,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Density Adaptive Attention is All You Need- Robust Parameter-Efficient Fine-Tuning Across Multiple Modalities,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:4:in_dimension=2D (x, y) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/DiffusionDet- Diffusion Model for Object Detection,hybrid_transformer_yes,2D_only,2D,,2D,2D,2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y); 0D (inferred) | TASK-DOMAINS.md:7:| object detection | images | 2D (x, y) (inferred) | Not specified in the paper. | Dynamic (inferred) | Constructed (inferred) | bounding boxes and category labels | 2...",
BIBLIOTHEQUE/05_ML-FNDTNS/Do Latent Tokens Think- A Causal and Adversarial Analysis of Chain-of-Continuous-Thought,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:4:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Efficient Large-Scale Language Model Training on GPU Clusters Using Megatron-LM,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.md:7:| language modeling (auto-regressive) | tokens | 1D (t) (inferred) | Fixed (inferred) | Static (inferred) | Direct (inferred) | tokens (vocabulary logits) | 1D (t) (in...,
BIBLIOTHEQUE/05_ML-FNDTNS/Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer (T5),hybrid_transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) | TASK-DOMAINS.csv:3:in_dimension=1D (t) | TASK-DOMAINS.csv:4:in_dimension=1D (t),
BIBLIOTHEQUE/05_ML-FNDTNS/FlashAttention-2- Faster Attention with Better Parallelism and Work Partitioning,transformer_yes,multi-D,1D;2D;3D,,1D;2D;3D,1D;2D;3D,1D;2D;3D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/Flow-based Extremal Mathematical Structure Discovery,transformer_yes,multi-D,2D;3D,,2D;3D,2D;3D,2D;3D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=3D (x, y, z) (inferred) | TASK-DOMAINS.csv:2:out_dimension=3D (x, y, z) (inferred) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y)",
BIBLIOTHEQUE/05_ML-FNDTNS/From Kepler to Newton- Inductive Biases Guide Learned World Models in Transformers,transformer_yes,multi-D,1D;3D,,1D;3D,1D;3D,1D;3D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=3D (x, y, t) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/Gemini- A Family of Highly Capable Multimodal Models,transformer_yes,multi-D,1D;2D;3D,,1D;2D;3D,1D;2D;3D,1D;2D;3D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Generating Long Sequences with Sparse Transformers,transformer_yes,multi-D,1D;3D,,1D;3D,1D;3D,1D;3D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=3D (x, y, z) (inferred) | TASK-DOMAINS.csv:2:out_dimension=3D (x, y, z) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/Generative Verifiers- Reward Modeling as Next-Token Prediction,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:4:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/GLIDE- Towards Photorealistic Image Generation and Editing with Text-Guided Diffusion Models,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/GPipe- Efficient Training of Giant Neural Networks using Pipeline Parallelism,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:out_dimension=1D (t) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/GPT-4 Technical Report,hybrid_transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) | TASK-DOMAINS.csv:3:in_dimension=1D (t) | TASK-DOMAINS.csv:3:out_dimension=1D (t),
BIBLIOTHEQUE/05_ML-FNDTNS/GPT-4o System Card,transformer_yes,multi-D,1D;2D;3D,,1D;2D;3D,1D;2D;3D,1D;2D;3D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred); 2D (x, y) (inferred); 3D (x, y, t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred); 2D (x, y) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/Grokking Modular Arithmetic,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Grokking Modular Polynomials,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:4:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Grokking- Generalization Beyond Overfitting on Small Algorithmic Datasets,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.md:7:| binary operation table completion | tokens (a, \\circ, b, =) | 1D (t) (inferred) | Fixed (inferred) | Static (inferred) | Direct (inferred) | token (x \\circ y resul...",
BIBLIOTHEQUE/05_ML-FNDTNS/Hierarchical Text-Conditional Image Generation with CLIP Latents,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/High-Resolution Image Synthesis with Latent Diffusion Models,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:2:out_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:3:out_dimension=2D (x, y) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/How Can Self-Attention Networks Recognize Dyck-n Languages-,hybrid_transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.md:7:| Multi-label next-symbol prediction (Dyck-n recognition) | Dyck-n bracket symbol sequence with starting symbol T | 1D (t) (inferred) | Capped (inferred) | Static (inf...,
BIBLIOTHEQUE/05_ML-FNDTNS/Image as a Foreign Language- BEiT Pretraining for All Vision and Vision-Language Tasks,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred); 1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred); 2D (x, y) (inferred) | TASK-DOMAINS.csv:3:in_dimension=2D (x, y) (inferred); 1D (t) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/Improving Image Generation with Better Captions,transformer_yes,multi-D,1D;2D,,1D;2D,1D;2D,1D;2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred)",
BIBLIOTHEQUE/05_ML-FNDTNS/Improving Language Understanding by Generative Pre-Training,hybrid_transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) | TASK-DOMAINS.csv:2:out_dimension=1D (t) | TASK-DOMAINS.csv:3:in_dimension=1D (t),
BIBLIOTHEQUE/05_ML-FNDTNS/In-context Learning and Induction Heads,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Jacobian-Free Backpropagation for Implicit Networks (JFB),transformer_yes,2D_only,2D,,2D,2D,2D,task_csv_primary,high,,"TASK-DOMAINS.csv:2:in_dimension=2D (x, y) (inferred) | TASK-DOMAINS.md:7:| Image classification | Images (SVHN, MNIST, CIFAR-10) | 2D (x, y) (inferred) | Not specified in the paper. | Not specified in the paper. | Constructed (inferred) | C...",
BIBLIOTHEQUE/05_ML-FNDTNS/Jukebox- A Generative Model for Music,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:out_dimension=1D (t) | TASK-DOMAINS.csv:3:out_dimension=1D (t) | TASK-DOMAINS.csv:4:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Language Models are Few-Shot Learners,transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
BIBLIOTHEQUE/05_ML-FNDTNS/Language Models are Unsupervised Multitask Learners,hybrid_transformer_yes,1D_only,1D,,1D,1D,1D,task_csv_primary,high,,TASK-DOMAINS.csv:2:in_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:2:out_dimension=1D (t) (inferred) | TASK-DOMAINS.csv:3:in_dimension=1D (t) (inferred),
