paper_dir,class_code,A_hits,B_hits,C_hits,D_hits,label,confidence,evidence_lines,notes
BIBLIOTHEQUE/03_COMP-REAS/Precise Zero-Shot Dense Retrieval without Relevance Labels,COMP-REAS,14,0,1,0,transformer_yes,high,"A@21: In this paper, we aim to build effective fully zero-shot dense retrieval systems that require no relevance supervision, work out-of-box a...",
BIBLIOTHEQUE/03_COMP-REAS/Product of Experts with LLMs- Boosting Performance on ARC Is a Matter of Perspective,COMP-REAS,29,0,18,0,transformer_yes,high,A@1: # Product of Experts with LLMs: Boosting Performance on ARC Is a Matter of Perspective,
"BIBLIOTHEQUE/03_COMP-REAS/ProofWriter- Generating Implications, Proofs, and Abductive Statements over Natural Language",COMP-REAS,9,0,2,0,transformer_yes,high,"A@9: Transformers have been shown to emulate logical deduction over natural language theories (logical rules expressed in natural language), r...",
BIBLIOTHEQUE/03_COMP-REAS/ReAct- Synergizing Reasoning and Acting in Language Models,COMP-REAS,18,0,0,0,transformer_yes,high,A@15: While large language models (LLMs) have demonstrated impressive performance across tasks in language understanding and interactive decisi...,
BIBLIOTHEQUE/03_COMP-REAS/REALM- Retrieval-Augmented Language Model Pre-Training,COMP-REAS,26,0,8,0,transformer_yes,high,"A@11: Recent advances in language model pre-training have shown that models such as BERT (Devlin et al., 2018), RoBERTa (Liu et al., 2019) and ...",
BIBLIOTHEQUE/03_COMP-REAS/Reasoning with Language Model is Planning with World Model (RAP),COMP-REAS,36,0,1,0,transformer_yes,high,"A@10: Large language models (LLMs) have shown remarkable reasoning capabilities, particularly with chain-of-thought (CoT) prompting. However, L...",
BIBLIOTHEQUE/03_COMP-REAS/Recurrent Relational Networks (RRN),COMP-REAS,0,0,0,4,transformer_no,medium,"D@21: Contrast this with the canonical deep learning approach to solving problems, the multilayer perceptron (MLP), or multilayer convolutional...",
BIBLIOTHEQUE/03_COMP-REAS/Recursive Language Models,COMP-REAS,21,0,5,0,transformer_yes,high,A@11: We study allowing large language models (LLMs) to process arbitrarily long prompts through the lens of inference-time scaling. We propose...,
BIBLIOTHEQUE/03_COMP-REAS/Reflection System for the Abstraction and Reasoning Corpus,COMP-REAS,64,0,0,0,transformer_yes,high,"A@35: The Abstraction and Reasoning Corpus (ARC) benchmarks broad generalization in artificial intelligence, and presents a significant challen...",
BIBLIOTHEQUE/03_COMP-REAS/Reflexion- Language Agents with Verbal Reinforcement Learning,COMP-REAS,24,0,0,1,transformer_yes,high,"A@29: Large language models (LLMs) have been increasingly used to interact with external environments (e.g., games, compilers, APIs) as goal-dr... | D@72: **Programming** Several past and recent works employ variations of test-driven development or code debugging practices. AlphaCode [14] ev...",
BIBLIOTHEQUE/03_COMP-REAS/Reinforcement Learning Neural Turing Machines - Revised,COMP-REAS,0,0,0,15,transformer_no,medium,"D@45: We now describe the RL-NTM. As a controller, it uses either LSTM, *direct access*, or LSTM (see sec. 8.1 for a definition). It has a one-...",
BIBLIOTHEQUE/03_COMP-REAS/Relational recurrent neural networks,COMP-REAS,1,2,1,14,hybrid_transformer_yes,high,"A@37: Our guiding design principle is to provide an architectural backbone upon which a model can learn to compartmentalize information, and le... | B@49: *self-attention*. Using MHDPA, each memory will attend over all of the other memories, and will update its content based on the attended ... | D@70: #### 3.3 Introducing recurrence and embedding into an LSTM",
BIBLIOTHEQUE/03_COMP-REAS/Resonant Sparse Geometry Networks,COMP-REAS,38,5,2,7,transformer_yes,high,"A@7: We introduce Resonant Sparse Geometry Networks (RSGN), a brain-inspired architecture with self-organizing sparse hierarchical input-depen... | B@11: The Transformer architecture [1] has emerged as the dominant paradigm in modern deep learning, powering breakthrough systems in natural l... | D@345: - LSTM: Bidirectional LSTM with 2 layers",
BIBLIOTHEQUE/03_COMP-REAS/RetentiveBEV- BEV transformer for visual 3D object detection,COMP-REAS,14,23,7,2,hybrid_transformer_yes,high,"A@16: # BEV transformer for visual 3D object detection applied with retentive mechanism | B@22: Three-dimensional (3D) vision perception tasks utilizing multiple cameras are pivotal for autonomous driving systems, encompassing both 3... | D@93: In this research, we introduce a new method for transforming features from multi-view camera images into BEV features, offering a unified...",
BIBLIOTHEQUE/03_COMP-REAS/Rethinking Attention with Performers,COMP-REAS,51,6,6,0,transformer_yes,high,"A@7: We introduce *Performers*, Transformer architectures which can estimate regular (softmax) full-rank-attention Transformers with provable ... | B@13: Transformers rely on a trainable *attention* mechanism that identifies complex dependencies between the elements of each input sequence. ...",
BIBLIOTHEQUE/03_COMP-REAS/Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,COMP-REAS,9,0,19,0,transformer_yes,high,"A@25: We endow pre-trained, parametric-memory generation models with a non-parametric memory through a general-purpose fine-tuning approach whi...",
BIBLIOTHEQUE/03_COMP-REAS/RETRO-style retrieval-augmented pretraining and variants,COMP-REAS,33,21,26,2,hybrid_transformer_yes,high,"A@7: We enhance auto-regressive language models by conditioning on document chunks retrieved from a large corpus, based on local similarity wi... | B@7: We enhance auto-regressive language models by conditioning on document chunks retrieved from a large corpus, based on local similarity wi... | D@163: Historically, information retrieval for text relies on inverted index matching such as TF-IDF and BM25 (Robertson and Zaragoza, 2009). Fo...",
BIBLIOTHEQUE/03_COMP-REAS/Revisiting the Test-Time Scaling of o1-like Models,COMP-REAS,3,0,9,0,transformer_yes,high,"A@7: The advent of test-time scaling in large language models (LLMs), exemplified by OpenAI's o1 series, has advanced reasoning capabilities b...",
BIBLIOTHEQUE/03_COMP-REAS/Reward-Respecting Subtasks for Model-Based Reinforcement Learning,COMP-REAS,0,0,0,4,transformer_no,medium,"D@124: As another example, suppose the policy $\pi$ is parameterized by $\boldsymbol{\theta} \in \mathbb{R}^{d'}$ and we want to learn it as wel...",
BIBLIOTHEQUE/03_COMP-REAS/Rewarding Progress- Scaling Automated Process Verifiers for LLM Reasoning (PAV - -progress rewards-),COMP-REAS,6,0,1,5,transformer_yes,high,"A@3: # Rewarding Progress: Scaling Automated Process Verifiers for LLM Reasoning | D@25: using outcome rewards for RL (since a standard policy gradient algorithm already computes advantages). Hence, we propose to use advantage...",
BIBLIOTHEQUE/03_COMP-REAS/RL$^2$- Fast Reinforcement Learning via Slow Reinforcement Learning,COMP-REAS,0,0,0,13,transformer_no,medium,"D@13: Deep reinforcement learning (deep RL) has been successful in learning sophisticated behaviors automatically; however, the learning proces...",
BIBLIOTHEQUE/03_COMP-REAS/RobustFill- Neural Program Learning under Noisy I-O,COMP-REAS,0,0,2,11,transformer_no,medium,"D@9: Here, for the first time, we directly compare both approaches on a large-scale, real-world learning task. We additionally contrast to rul...",
BIBLIOTHEQUE/03_COMP-REAS/SATNet- Bridging Deep Learning and Logical Reasoning Using a Differentiable Satisfiability Solver,COMP-REAS,0,0,0,6,transformer_no,medium,"D@267: & Ba, 2015) with a learning rate of $10^{-1}$ . We compare to an LSTM sequence classifier, which uses 100 hidden units and a learning rat...",
BIBLIOTHEQUE/03_COMP-REAS/Scaling LLM Test-Time Compute Optimally can be More Effective than Scaling Model Parameters,COMP-REAS,20,0,2,0,transformer_yes,high,A@1: # Scaling LLM Test-Time Compute Optimally can be More Effective than Scaling Model Parameters,
BIBLIOTHEQUE/03_COMP-REAS/Scaling Memory-Augmented Neural Networks with Sparse Reads and Writes,COMP-REAS,0,0,0,4,transformer_no,medium,"D@19: Recurrent neural networks, such as the Long Short-Term Memory (LSTM) [11], have proven to be powerful sequence learning models [6, 18]. H...",
BIBLIOTHEQUE/03_COMP-REAS/Searching Latent Program Spaces,COMP-REAS,6,1,0,0,transformer_yes,high,A@27: Current approaches to solving ARC-AGI and program synthesis benchmarks generally fall into two categories: inductive and transductive met... | B@27: Current approaches to solving ARC-AGI and program synthesis benchmarks generally fall into two categories: inductive and transductive met...,
BIBLIOTHEQUE/03_COMP-REAS/Self-Consistency Improves Chain of Thought Reasoning in Language Models,COMP-REAS,20,0,1,1,transformer_yes,high,"A@9: Chain-of-thought prompting combined with pre-trained large language models has achieved encouraging results on complex reasoning tasks. I... | D@235: Extract reasoning paths. Some previous work has considered task-specific approaches for identifying reasoning paths, such as constructing...",
BIBLIOTHEQUE/03_COMP-REAS/Self-Improving Language Models for Evolutionary Program Synthesis- A Case Study on ARC-AGI (SOAR),COMP-REAS,21,0,0,0,transformer_yes,high,A@7: Many program synthesis tasks prove too challenging for even state-of-the-art language models to solve in single attempts. Search-based ev...,
BIBLIOTHEQUE/03_COMP-REAS/Self-Refine- Iterative Refinement with Self-Feedback,COMP-REAS,22,0,0,0,transformer_yes,high,"A@14: Like humans, large language models (LLMs) do not always generate the best output on their first try. Motivated by how humans refine their...",
BIBLIOTHEQUE/03_COMP-REAS/Solver-in-the-Loop- Learning from Differentiable Physics to Interact with Iterative PDE Solvers,COMP-REAS,0,0,0,1,uncertain,low,D@145: Computing solutions with the resulting hybrid method which alternates PDE evaluations and ANN inference also provides benefits in terms o...,
BIBLIOTHEQUE/03_COMP-REAS/Solving olympiad geometry without human demonstrations (AlphaGeometry),COMP-REAS,16,0,2,0,transformer_yes,high,"A@27: We pretrain a language model on all generated synthetic data and fine-tune it to focus on auxiliary construction during proof search, del...",
BIBLIOTHEQUE/03_COMP-REAS/Solving Programming Tasks from Description and Examples,COMP-REAS,0,0,1,3,transformer_no,medium,D@64: Our neural network model uses an attentional encoder-decoder architecture. The encoder uses RNN to embed concatenation of arguments Args ...,
BIBLIOTHEQUE/03_COMP-REAS/Solving the Rubik’s Cube Without Human Knowledge,COMP-REAS,0,0,0,2,transformer_no,medium,"D@35: random states and applying DRL algorithms, such as asynchronous advantage actor-critic (A3C) [19], could theoretically result in the agen...",
BIBLIOTHEQUE/03_COMP-REAS/STaR- Self-Taught Reasoner (Bootstrapping Reasoning With Reasoning),COMP-REAS,27,0,1,2,hybrid_transformer_yes,high,"A@14: Human decision-making is often the result of extended chains of thought [1, 2]. Recent work has shown that explicit intermediate reasonin... | D@57: STaR can be seen as an approximation to an RL-style policy gradient objective. To see this, note that M can be viewed as a discrete laten...",
BIBLIOTHEQUE/03_COMP-REAS/StoryMem- Multi-shot Long Video Storytelling with Memory,COMP-REAS,6,6,9,0,transformer_yes,high,"A@61: Memory Mechanisms in Video Generation. Memory is a fundamental capability of intelligent systems, and has been widely studied in large la... | B@25: Existing solutions fall into two main categories. The *first* category models all shots jointly within a single large video diffusion mod...",
BIBLIOTHEQUE/03_COMP-REAS/Synthesizing Visual Concepts as Vision-Language Programs,COMP-REAS,8,0,1,0,transformer_yes,high,A@43: Program-based Visual Reasoning. A prominent recent approach to complex visual reasoning leverages programs for systematic image analysis....,
BIBLIOTHEQUE/03_COMP-REAS/Temporal-Difference Networks,COMP-REAS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/03_COMP-REAS/Test-Time Learning for Large Language Models (TLM - TTL),COMP-REAS,46,0,4,0,transformer_yes,high,A@1: ## **Test-Time Learning for Large Language Models**,
BIBLIOTHEQUE/03_COMP-REAS/Test-Time Training on Nearest Neighbors for Large Language Models,COMP-REAS,14,1,4,1,transformer_yes,high,"A@1: # TEST-TIME TRAINING ON NEAREST NEIGHBORS FOR LARGE LANGUAGE MODELS | B@55: At test time, our method requires one forward and backward pass through each of the neighbors individually. Using the neighbors as additi... | D@49: The most relevant paper is Bottou & Vapnik (1992). Their method, called local learning, first trains a convolutional neural network on im...",
BIBLIOTHEQUE/03_COMP-REAS/The Predictron- End-To-End Learning and Planning,COMP-REAS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/03_COMP-REAS/The Surprising Effectiveness of Test-Time Training for Few-Shot Learning,COMP-REAS,6,0,0,1,hybrid_transformer_yes,high,"A@44: While the possibility of in-context learning (ICL) as implicit machine learning simulation is discussed in previous work (Akyürek et al.,... | D@60: <sup>&</sup>lt;sup>2</sup>Note that this use of ""test-time training"" is related but distinct from the one used in recent line of work whe...",
BIBLIOTHEQUE/03_COMP-REAS/Toolformer- Language Models Can Teach Themselves to Use Tools,COMP-REAS,39,0,11,0,transformer_yes,high,"A@13: Large language models achieve impressive zeroand few-shot results on a variety of natural language processing tasks (Brown et al., 2020; ...",
BIBLIOTHEQUE/03_COMP-REAS/Towards Efficient Neurally-Guided Program Induction for ARC-AGI,COMP-REAS,9,0,18,0,transformer_yes,high,"A@23: - 3. We propose a novel probabilistic program enumerationbased search algorithm for program induction, leaning heavily on Transformer-bas...",
BIBLIOTHEQUE/03_COMP-REAS/Training Iterative Refinement Algorithms with Implicit Differentiation,COMP-REAS,4,0,0,2,hybrid_transformer_yes,high,"A@39: Our work draws upon innovations in implicit differentiation that have been applied in various other applications besides object-centric l... | D@74: How these iterative refinement methods are implemented differs from optimizing the per-datapoint ELBO described above, however. Indeed, b...",
BIBLIOTHEQUE/03_COMP-REAS/Transformer-XL- Attentive Language Models Beyond a Fixed-Length Context,COMP-REAS,52,4,20,20,hybrid_transformer_yes,high,"A@1: # Transformer-XL: Attentive Language Models Beyond a Fixed-Length Context | B@25: deep self-attention network. In particular, instead of computing the hidden states from scratch for each new segment, we reuse the hidden... | D@15: Language modeling is among the important problems that require modeling long-term dependency, with successful applications such as unsupe...",
BIBLIOTHEQUE/03_COMP-REAS/Tree of Thoughts (ToT)- Deliberate Problem Solving with Large Language Models,COMP-REAS,15,0,7,0,transformer_yes,high,A@1: # Tree of Thoughts: Deliberate Problem Solving with Large Language Models,
BIBLIOTHEQUE/03_COMP-REAS/TTCS- Test-Time Curriculum Synthesis for Self-Evolving,COMP-REAS,5,0,0,0,transformer_yes,high,A@9: Test-Time Training offers a promising way to improve the reasoning ability of large language models (LLMs) by adapting the model using on...,
BIBLIOTHEQUE/03_COMP-REAS/Understanding LSTM Networks,COMP-REAS,0,0,0,19,transformer_no,medium,D@1: ## Understanding LSTM Networks,
BIBLIOTHEQUE/03_COMP-REAS/Universal Transformers (UT),COMP-REAS,56,12,0,11,hybrid_transformer_yes,high,A@1: # Universal Transformers | B@17: Convolutional and fully-attentional feed-forward architectures like the Transformer have recently emerged as viable alternatives to recur... | D@41: The Universal Transformer (UT; see Fig. 2) is based on the popular encoder-decoder architecture commonly used in most neural sequence-to-...,
"BIBLIOTHEQUE/03_COMP-REAS/Using a recurrent network to bind form, color and position into a unified percept",COMP-REAS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/03_COMP-REAS/Vector Symbolic Algebras for the Abstraction and Reasoning Corpus,COMP-REAS,14,0,0,0,transformer_yes,high,"A@24: The Abstraction and Reasoning Corpus for Artificial General Intelligence (ARC-AGI) is a generative, few-shot fluid intelligence benchmark...",
BIBLIOTHEQUE/05_ML-FNDTNS/A Distributional Perspective on Reinforcement Learning,ML-FNDTNS,0,0,0,13,transformer_no,medium,D@39: We will illustrate the practical benefits of the distributional perspective in the context of the Arcade Learning Environment (Bellemare ...,
BIBLIOTHEQUE/05_ML-FNDTNS/A Fast Learning Algorithm for Deep Belief Nets,ML-FNDTNS,0,0,0,1,uncertain,low,D@221: Substantial reductions in the error rate can be achieved by supplementing the data set with slightly transformed versions of the training...,
BIBLIOTHEQUE/05_ML-FNDTNS/A Fully First-Order Layer for Differentiable Optimization,ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/A General Language Assistant as a Laboratory for Alignment,ML-FNDTNS,5,0,1,0,transformer_yes,high,"A@17: Given the broad capabilities of large language models, it should be possible to work towards a general-purpose, text-based assistant that...",
BIBLIOTHEQUE/05_ML-FNDTNS/A Generalist Agent (Gato),ML-FNDTNS,17,1,18,1,transformer_yes,high,"A@21: Figure 2: **Training phase of Gato**. Data from different tasks and modalities is serialized into a flat sequence of tokens, batched, and... | B@469: Context-length is therefore a current limitation of our architecture, mainly due to the quadratic scaling of self-attention. Many recentl... | D@415: A variety of earlier generalist models have been developed that, like Gato, operate across highly distinct domains and modalities. NPI (R...",
BIBLIOTHEQUE/05_ML-FNDTNS/A History of Meta-gradient- Gradient Methods for Meta-learning,ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/A Natural Policy Gradient,ML-FNDTNS,0,0,0,5,transformer_no,medium,D@1: # A Natural Policy Gradient,
BIBLIOTHEQUE/05_ML-FNDTNS/A Neural Probabilistic Language Model,ML-FNDTNS,0,0,0,2,transformer_no,medium,"D@104: parameters of the mapping C are simply the feature vectors themselves, represented by a $|V| \times m$ matrix C whose row i is the featur...",
BIBLIOTHEQUE/05_ML-FNDTNS/A recurrent neural architecture mimicking cortical preattentive vision systems,ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/A Theory of the Learnable (PAC Learning),ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/A Tutorial Introduction to the Minimum Description Length Principle,ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/Accelerating Search-Based Program Synthesis using Learned Probabilistic Models (Euphony),ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/Actor-Critic Algorithms,ML-FNDTNS,0,0,0,12,transformer_no,medium,D@1: # **Actor-Critic Algorithms**,
BIBLIOTHEQUE/05_ML-FNDTNS/Adam- A Method for Stochastic Optimization,ML-FNDTNS,0,0,0,1,uncertain,low,"D@145: Convolutional neural networks (CNNs) with several layers of convolution, pooling and non-linear units have shown considerable success in ...",
BIBLIOTHEQUE/05_ML-FNDTNS/Adding Gradient Noise Improves Learning for Very Deep Networks,ML-FNDTNS,0,0,1,3,transformer_no,medium,"D@203: We now conduct experiments with Neural Random-Access Machines (NRAM) (Kurach et al., 2015). NRAM is a model for algorithm learning that c...",
BIBLIOTHEQUE/05_ML-FNDTNS/Addressing the Rare Word Problem in Neural Machine Translation,ML-FNDTNS,0,0,11,17,transformer_no,medium,"D@56: There are many ways to parameterize these conditional distributions. For example, Kalchbrenner and Blunsom (2013) used a combination of a...",
BIBLIOTHEQUE/05_ML-FNDTNS/Agent57- Outperforming the Atari Human Benchmark,ML-FNDTNS,0,0,0,2,transformer_no,medium,"D@21: Deep Q-Networks (DQN; Mnih et al., 2015) was the first algorithm to achieve human-level control in a large number of the Atari 2600 games...",
BIBLIOTHEQUE/05_ML-FNDTNS/AI Feynman,ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/AI Feynman- a Physics-Inspired Method for Symbolic Regression,ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/AI safety via debate,ML-FNDTNS,0,0,0,2,transformer_no,medium,D@206: <sup>&</sup>lt;sup>3</sup>See https://www.tensorflow.org/tutorials/layers#building the cnn mnist classifier.,
BIBLIOTHEQUE/05_ML-FNDTNS/ALBEF- Align Before Fuse,ML-FNDTNS,9,7,11,0,transformer_yes,high,"A@10: Large-scale vision and language representation learning has shown promising improvements on various vision-language tasks. Most existing ... | B@50: As illustrated in Figure 1, ALBEF contains an image encoder, a text encoder, and a multimodal encoder. We use a 12-layer visual transform...",
BIBLIOTHEQUE/05_ML-FNDTNS/An Emphatic Approach to the Problem of Off-policy Temporal-Difference Learning,ML-FNDTNS,0,0,0,4,transformer_no,medium,"D@23: Parametric temporal-difference learning was first studied as the key ""learning by generalization"" algorithm in Samuel's (1959) checker pl...",
BIBLIOTHEQUE/05_ML-FNDTNS/An Empirical Model of Large-Batch Training,ML-FNDTNS,0,0,2,15,transformer_no,medium,"D@111: $<sup>^5</sup>$ In the context of reinforcement learning, the loss could be the surrogate policy gradient loss, and the distribution $\rh...",
BIBLIOTHEQUE/05_ML-FNDTNS/Approximately Optimal Approximate Reinforcement Learning,ML-FNDTNS,0,0,0,6,transformer_no,medium,"D@17: The two standard approaches, greedy dynamic programming and policy gradient methods, have enjoyed many empirical successes on reinforceme...",
BIBLIOTHEQUE/05_ML-FNDTNS/Asynchronous Methods for Deep Reinforcement Learning (A3C),ML-FNDTNS,0,0,0,38,transformer_no,medium,D@23: We propose a conceptually simple and lightweight framework for deep reinforcement learning that uses asynchronous gradient descent for op...,
BIBLIOTHEQUE/05_ML-FNDTNS/Attention Is All You Need,ML-FNDTNS,24,26,4,3,hybrid_transformer_yes,high,A@27: The dominant sequence transduction models are based on complex recurrent or convolutional neural networks that include an encoder and a d... | B@29: <sup>\*</sup>Equal contribution. Listing order is random. Jakob proposed replacing RNNs with self-attention and started the effort to eva... | D@273: To evaluate if the Transformer can generalize to other tasks we performed experiments on English constituency parsing. This task presents...,
BIBLIOTHEQUE/05_ML-FNDTNS/Auto-Encoding Variational Bayes (VAE),ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/Automating String Processing in Spreadsheets Using Input-Output Examples (FlashFill),ML-FNDTNS,0,0,12,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/Average-Hard Attention Transformers Are Threshold Circuits,ML-FNDTNS,32,0,2,1,transformer_yes,high,A@1: # Average-Hard Attention Transformers are Constant-Depth Uniform Threshold Circuits | D@13: The dominance of recurrent neural network (RNN) architectures in the realm of natural language processing gradually waned with the advent...,
BIBLIOTHEQUE/05_ML-FNDTNS/Batch Normalization- Accelerating Deep Network Training by Reducing Internal Covariate Shift,ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/Behind RoPE- How Does Causal Mask Encode Positional Information-,ML-FNDTNS,28,2,26,0,transformer_yes,high,"A@7: While explicit positional encodings such as RoPE are a primary source of positional information in Transformer decoders, the causal mask ... | B@171: Finally, in the second-layer self-attention (i), we clearly observe the expected pattern of strict increase with i, in agreement with our...",
BIBLIOTHEQUE/05_ML-FNDTNS/BEiT- BERT Pre-Training of Image Transformers,ML-FNDTNS,34,6,7,0,transformer_yes,high,"A@1: # **BEIT: BERT Pre-Training of Image Transformers** | B@37: - We present that the self-attention mechanism of self-supervised BEIT learns to distinguish semantic regions and object boundaries, alth...",
BIBLIOTHEQUE/05_ML-FNDTNS/BERT- Pre-training of Deep Bidirectional Transformers for Language Understanding,ML-FNDTNS,85,4,28,0,transformer_yes,high,"A@1: # **BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding** | B@19: We argue that current techniques restrict the power of the pre-trained representations, especially for the fine-tuning approaches. The ma...",
BIBLIOTHEQUE/05_ML-FNDTNS/Better & Faster Large Language Models via Multi-token Prediction,ML-FNDTNS,16,0,62,0,transformer_yes,high,A@1: # Better & Faster Large Language Models via Multi-token Prediction,
BIBLIOTHEQUE/05_ML-FNDTNS/Beyond Position- The Emergence of Wavelet-like Properties in Transformers,ML-FNDTNS,16,1,37,0,transformer_yes,high,"A@1: ## Beyond Position: the emergence of wavelet-like properties in Transformers | B@27: The Transformer architecture (Vaswani, 2017) revolutionized sequence modeling through self-attention mechanisms. While the original Trans...",
BIBLIOTHEQUE/05_ML-FNDTNS/Bidirectional Recurrent Neural Networks (Schuster & Paliwal),ML-FNDTNS,0,0,0,32,transformer_no,medium,"D@5: Abstract—In the first part of this paper, a regular recurrent neural network (RNN) is extended to a bidirectional recurrent neural networ...",
BIBLIOTHEQUE/05_ML-FNDTNS/BlinkFill- Semi-supervised Programming By Example for Syntactic String Transformations,ML-FNDTNS,0,0,23,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/BLIP- Bootstrapping Language-Image Pre-training,ML-FNDTNS,19,7,6,0,transformer_yes,high,"A@66: We employ a visual transformer (Dosovitskiy et al., 2021) as our image encoder, which divides an input image into patches and encodes the... | B@36: Figure 2. Pre-training model architecture and objectives of BLIP (same parameters have the same color). We propose multimodal mixture of ...",
BIBLIOTHEQUE/05_ML-FNDTNS/BLIP-2- Bootstrapping Language-Image Pre-training with Frozen Models,ML-FNDTNS,49,8,2,0,transformer_yes,high,A@1: # **BLIP-2: Bootstrapping Language-Image Pre-training** with Frozen Image Encoders and Large Language Models | B@45: More similar to us are methods that leverage off-the-shelf pre-trained models and keep them frozen during VLP. Some methods freeze the im...,
BIBLIOTHEQUE/05_ML-FNDTNS/CamPoint- Boosting Point Cloud Segmentation with Virtual Camera,ML-FNDTNS,7,0,0,0,transformer_yes,high,"A@123: We conduct the following experiments with classical methods (MinkUNet [5], PointNeXt [38], DeLA [4], PointHR [40], AVS-Net [63], OA-CNNs ...",
BIBLIOTHEQUE/05_ML-FNDTNS/CausalEmbed- Auto-Regressive Multi-Vector Generation in Latent Space for Visual Document Embedding,ML-FNDTNS,4,0,21,0,transformer_yes,high,A@7: Although Multimodal Large Language Models (MLLMs) have shown remarkable potential in Visual Document Retrieval (VDR) through generating h...,
BIBLIOTHEQUE/05_ML-FNDTNS/CoAtNet- Marrying Convolution and Attention for All Data Sizes,ML-FNDTNS,46,20,1,0,transformer_yes,high,"A@9: Transformers have attracted increasing interests in computer vision, but they still fall behind state-of-the-art convolutional networks. ... | B@9: Transformers have attracted increasing interests in computer vision, but they still fall behind state-of-the-art convolutional networks. ...",
BIBLIOTHEQUE/05_ML-FNDTNS/CoCa- Contrastive Captioners,ML-FNDTNS,14,6,6,1,transformer_yes,high,"A@9: Exploring large-scale pretrained foundation models is of significant interest in computer vision because these models can be quickly tran... | B@9: Exploring large-scale pretrained foundation models is of significant interest in computer vision because these models can be quickly tran... | D@35: **Vision-Language Pretraining.** In recent years, rapid progress has been made in vision-language pretraining (VLP), which aims to jointl...",
BIBLIOTHEQUE/05_ML-FNDTNS/Concrete Problems in AI Safety,ML-FNDTNS,0,0,0,2,transformer_no,medium,"D@162: - Supervised Reward Learning: Train a model to predict the reward from the state on either a per-timestep or per-episode basis, and use i...",
BIBLIOTHEQUE/05_ML-FNDTNS/Consistency Models,ML-FNDTNS,0,0,0,1,uncertain,low,"D@285: In addition, consistency models share striking similarities with techniques employed in other fields, including deep Q-learning (Mnih et ...",
BIBLIOTHEQUE/05_ML-FNDTNS/Constitutional AI- Harmlessness from AI Feedback,ML-FNDTNS,1,0,0,0,transformer_yes,high,"A@47: 1 Note that this was for research purposes, and is not the same set of principles that Anthropic uses for its large language model, Claude.",
BIBLIOTHEQUE/05_ML-FNDTNS/Continuous Adaptation via Meta-Learning in Nonstationary and Competitive Environments,ML-FNDTNS,0,0,0,13,transformer_no,medium,"D@104: In general, we can think of the task, trajectories, and policies, as random variables (Fig. 1a), where $\phi$ is generated from some cond...",
BIBLIOTHEQUE/05_ML-FNDTNS/Continuous Control with Deep Reinforcement Learning,ML-FNDTNS,0,0,0,26,transformer_no,medium,"D@10: We adapt the ideas underlying the success of Deep Q-Learning to the continuous action domain. We present an actor-critic, model-free algo...",
BIBLIOTHEQUE/05_ML-FNDTNS/Continuous Deep Q-Learning with Model-based Acceleration,ML-FNDTNS,0,0,0,30,transformer_no,medium,D@1: ### Continuous Deep Q-Learning with Model-based Acceleration,
BIBLIOTHEQUE/05_ML-FNDTNS/Convolutional Sequence to Sequence Learning,ML-FNDTNS,0,0,3,15,transformer_no,medium,D@12: The prevalent approach to sequence to sequence learning maps an input sequence to a variable length output sequence via recurrent neural ...,
BIBLIOTHEQUE/05_ML-FNDTNS/Data-Driven Prediction of Embryo Implantation Probability Using IVF Time-lapse Imaging,ML-FNDTNS,0,0,0,1,uncertain,low,D@55: A CNN autoencoder was trained with the $L_2$ loss on the individual frames from the unlabeled videos. The encoder comprising 10 layers wa...,
BIBLIOTHEQUE/05_ML-FNDTNS/Decoupling Search and Learning in Neural Net Training,ML-FNDTNS,0,0,0,0,uncertain,low,,
BIBLIOTHEQUE/05_ML-FNDTNS/Deep Double Descent- Where Bigger Models and More Data Hurt,ML-FNDTNS,10,0,2,5,hybrid_transformer_yes,high,A@43: Figure 3: Test loss (per-token perplexity) as a function of Transformer model size (embedding dimension $d_{model}$ ) on language transla... | D@85: We briefly describe the experimental setup here; full details are in Appendix B $^1$ . We consider three families of architectures: ResNe...,
